x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
183 0 380.5 220.5 342 386 436 97 113.5 117.5
184 500 491 1267.5 342.5 345 349 104.5 99 99
185 0 388.5 262 349.5 347.5 348 98.5 97.5 97.5
186 0 388.5 228.5 351.5 351.5 351.5 100 98.5 98.5
187 0 396 254 355.5 353.5 355 97 94 94
188 0 400.5 229 402.5 440 427 123 120.5 119.5
189 0 497 281.5 446.5 446 495 127 124 124
190 500 548.5 306.5 488 464 480 127.5 130.5 172
191 500 544 313.5 428.5 470 499 127 119 119.5
192 500 491.5 294.5 524.5 609.5 468 135.5 150 142
193 8000 708 425 554 606 420 107 102.5 100.5
194 0 430 229.5 492.5 749.5 526 199.5 121.5 99.5
195 0 438.5 250 405.5 486 443.5 116.5 106.5 105.5
196 500 464.5 255.5 480.5 508.5 515.5 131.5 127 126.5
197 500 565.5 331 516.5 422 422.5 100 98.5 98.5
198 0 466 246 404 415 411 110.5 141.5 124
199 0 570 301 559.5 503.5 479.5 131.5 356 125.5
200 500 581.5 345.5 540.5 532 519.5 153.5 130 128.5
201 500 591 323 568.5 520.5 588 140 128 137.5
202 500 550.5 256.5 554.5 414 413.5 106 100.5 100.5
203 0 479 318 516.5 522 512.5 129.5 150.5 150
204 500 659 343 513 479.5 531 136 134 127.5
205 500 622 354 471 571.5 611.5 155 149.5 141.5
206 500 627 381 578.5 563 534.5 137.5 134 213
207 500 629 390.5 569 578.5 571.5 138.5 136.5 136.5
208 500 585 389 575 565.5 572.5 140.5 148.5 275.5
209 500 1568.5 395 470 452.5 451 113.5 105.5 105.5
210 0 498.5 276 455 454 453.5 111 106.5 106.5
211 0 505 311 471 456 461 112 106.5 107
212 0 511.5 313 476 472 468.5 114.5 109 109
213 0 522.5 318 474.5 475 474.5 114.5 109.5 109.5
214 0 526.5 339 490.5 482.5 480.5 117 109.5 109.5
215 0 530.5 301 482.5 482 494 114.5 109.5 109.5
216 0 555 323 494.5 508 496.5 118 121.5 140.5
217 500 738.5 1077.5 643 657.5 663.5 161 151 151
218 500 788.5 446 616.5 766.5 652.5 160 133.5 134.5
219 500 677 431.5 555 498.5 517 173 142.5 148.5
220 500 845 662 602.5 642.5 657 178.5 159 141.5
221 500 769.5 409 695.5 672.5 651 186 150 150.5
222 500 719 432 706.5 669.5 669.5 157.5 173 148
223 500 690.5 443.5 735 581.5 639.5 178.5 173 168
224 500 800.5 446.5 643 655 697 171 116 116
225 0 572.5 358 513.5 513.5 521 115 114 114
226 0 576 333.5 515 515.5 516.5 118.5 114.5 115
227 0 573.5 338 522.5 520.5 522.5 116 114.5 115.5
228 0 574.5 339.5 525 523 525.5 116 115 115
229 0 580.5 367 530.5 530 529.5 117 115 115.5
230 0 584 346.5 532.5 537.5 534 117.5 128 117
231 0 585 373 536.5 540.5 539.5 118.5 117.5 117.5
232 0 591.5 358.5 548.5 641.5 786 150 154 181.5
233 500 741 461.5 865.5 841.5 895.5 218 196.5 186
234 1000 864 465.5 737 753.5 755 182.5 180 172
235 500 925 413 664.5 614 957.5 177 146 189
236 500 1053 1067 911.5 736.5 736.5 161 155.5 154
237 500 800 483 742 704.5 674.5 162 155 149
238 500 856 541.5 742 620.5 577 123.5 118.5 118.5
239 0 636 405 574 574 577.5 119.5 118.5 118.5
240 0 651 380 579 606.5 591 128.5 123.5 121
241 0 652 359.5 595.5 598 595 127 121 121
242 0 661.5 377.5 600 605.5 600 129 122.5 122.5
243 0 662 395.5 609.5 603 607.5 128.5 122.5 122.5
244 0 667 373 616.5 608 614 131.5 123 123
245 0 674 426 623 603 603 122.5 121.5 121.5
246 0 883.5 492 890 804.5 903.5 195 180 170.5
247 500 951.5 417 871.5 812 757.5 195 168.5 160
248 500 897.5 710 794.5 803 886.5 171.5 161.5 178
249 500 1146 485 709.5 740.5 802 172.5 164 149.5
250 500 1178 522.5 738.5 736.5 1185 132 179.5 126.5
251 0 713 383 639.5 646.5 690.5 133 125 139
252 0 709 390 653 650 647 129 124.5 140
253 0 714.5 394 657.5 659.5 659.5 131 126 139
254 0 725.5 410 726.5 761.5 683.5 141 129 143
255 500 723 467.5 669.5 661 678.5 147.5 129 128.5
256 0 744 411.5 701 721.5 667 136 147 137.5
257 0 1065.5 516.5 1095.5 1136.5 1238 290 310 179.5
258 500 1232.5 669 902 787 2551 196 242 166.5
259 500 934 521 935.5 897 873 164.5 174.5 171.5
260 500 997.5 489.5 788 950 839 169.5 159 144.5
261 500 790.5 505 884.5 854 1014.5 218.5 177 213
262 500 981 461.5 935 930 858.5 176 160.5 181.5
263 1000 986.5 519.5 711 698.5 696.5 160 148 134
264 0 764 419 704 706 701 133.5 132.5 132
265 0 779.5 442.5 710.5 718.5 706.5 145.5 134 134.5
